"ID","UniqueId","Nickname","Verified","Title","Description","IsCommerce","HashtagName","HeartCount","VideoCount","DiggCount","ShareCount","CommentCount","PlayCount","CollectCount","VideoLink"
"7098588157762964782","adriantoking","Adrian","false","Jupiter & Mars","Fangirling for a sec #justiceforjohnnydepp #benjaminchew #camillevasquez #deppheard #lawyersofinstagram #brownrudnick #johnnydeppisinnocent","false","justiceforjohnnydepp","3900000","81","2500000","18000","6160","21400000","59800","https://www.tiktok.com/@adriantoking/video/7098588157762964782"
"7099422389473185026","shadezahrai","Shadé Z. | MBA | PhD Candidate","true","original sound","What’s your take on the white suit? And the Depp v. Heard trial more broadly?  Love to hear your thoughts #depp #johnnydepp #deppheard #deppvheard #psychology #defamationtrial #amberheardjohnnydepp","false","depp","14400000","601","918300","6265","4093","7100000","38300","https://www.tiktok.com/@shadezahrai/video/7099422389473185026"
"7091502625769704705","jd_justice","JD_justice","false","original sound","JOHNNY LAUGHING THE WHOLE TIME #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #johnnydepp #funny #deppheard #overit #court #fyp #defamationtrial #johnnydepptrial #defamationtrial #captainjacksparrow","false","justiceforjohnnydepp","17500000","127","836700","7359","2465","5600000","29600","https://www.tiktok.com/@jd_justice/video/7091502625769704705"
"7102085337358290178","jd_justice","JD_justice","false","original sound","Camile woke up and chose murder, not violence, murder #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justiceforjohnnydepp #johnnydepptrial #deppheard #justicefordepp #amberheardjohnnydepp #amberheardjohnnydepp #katemoss #katemoss90s","false","justiceforjohnny","17500000","127","749100","4468","2338","6700000","14900","https://www.tiktok.com/@jd_justice/video/7102085337358290178"
"7099427947798449409","jd_justice","JD_justice","false","original sound","6 year old me is crying #captainjacksparrow #justiceforjohnny #amberturd #johnnydepp #deppheard #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #johnnydeppisinnocent #amberheardjohnnydepp #piratesofthecaribbean #jacksparrow","false","captainjacksparrow","17500000","127","740500","6945","3182","6100000","20800","https://www.tiktok.com/@jd_justice/video/7099427947798449409"
"7090908673895156993","jd_justice","JD_justice","false","original sound","Highlight of the day 😂#justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #johnnydepptrial #mrrottenborn #johnnydeppisinnocent #amberheardjohnnydepp #defamationtrial #johnnydepp #captainjacksparrow #clown #lawyertiktok #deppheard #court #funny #fyp","false","justiceforjohnnydepp","17500000","127","360300","9649","2287","3000000","17500","https://www.tiktok.com/@jd_justice/video/7090908673895156993"
"7093928284110572802","jd_justice","JD_justice","false","original sound","This is from yesterday I forgot to post it #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #johnnydepptrial #defamationtrial #johnnydepp","false","justiceforjohnnydepp","17500000","127","359300","574","976","6600000","5796","https://www.tiktok.com/@jd_justice/video/7093928284110572802"
"7265000024453532960","captainjohnnyvdepp","𝐿𝑒𝑜𝑛𝑖𝑒🦢","false","original sound","I cant say anything🫣 #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #dior #diorsauvage #diorjohnnydepp #johnnydeppdior ","false","johnnydepp","1500000","242","330600","22500","2364","1700000","65700","https://www.tiktok.com/@captainjohnnyvdepp/video/7265000024453532960"
"7101698399698767106","jd_justice","JD_justice","false","original sound","When the defence has no defence #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp   #johnnydepptrial #amberheard #justicefordepp #drcurry #deppvheard   #elainebredehoft #deppheard","false","justiceforjohnny","17500000","127","312900","979","1177","4000000","5806","https://www.tiktok.com/@jd_justice/video/7101698399698767106"
"7093944109307661570","jd_justice","JD_justice","false","original sound","GET THE POPCORN!! #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #defamationtrial #johnnydepp","false","justiceforjohnnydepp","17500000","127","234600","501","1271","2400000","3359","https://www.tiktok.com/@jd_justice/video/7093944109307661570"
"7098917701610966274","jd_justice","JD_justice","false","original sound","It was very painful #justiceforjohnny #amberturd #johnnydepp #deppheard #deppvheard #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydeppisinnocent #amberheard #mentoo #amberheardjohnnydepp #johnnydepptrial #benchew #herewegoagain","false","justiceforjohnny","17500000","127","199200","451","283","1700000","6165","https://www.tiktok.com/@jd_justice/video/7098917701610966274"
"7093916351823219969","jd_justice","JD_justice","false","original sound","Someone help me I can’t stand her anymore #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #captainjacksparrow #johnnydepp #johnnydepptrial #defamationtrial #overit","false","justiceforjohnnydepp","17500000","127","189200","633","737","3600000","2335","https://www.tiktok.com/@jd_justice/video/7093916351823219969"
